,Med,Eur,Pot4kw,EK,Nek,C1500,C1520,C2025,C2500,C3000,HEATING,COOLING
0,0.1136,0.084,0.111919373,0.1124091,0.1143666,0.09704,0.111059627,0.125291927,0.145917123,0.159375,0,0
1,0.1033,0.084,0.102327208,0.1034534,0.1032933,0.093296,0.101569332,0.112319792,0.131547089,0.152698333,0.336742853,0
2,0.0998,0.084,0.098584615,0.1002317,0.0994447,0.089641,0.099224224,0.10802309,0.130160959,0.149973333,0.308612849,0
3,0.099,0.084,0.097444017,0.0996904,0.0986153,0.089217,0.097868711,0.107258247,0.130190925,0.150555,0.273167177,0
4,0.1019,0.084,0.099477208,0.1020895,0.1007622,0.089098,0.097781522,0.111807726,0.139515925,0.180796667,0.026795996,0
5,0.1026,0.084,0.100656695,0.1014546,0.1014444,0.089018,0.09785955,0.112209028,0.141676884,0.188108333,0,0
6,0.1916,0.084,0.187068234,0.1877587,0.1879128,0.173805,0.183059084,0.201220226,0.232737671,0.264463333,0.182133623,0
7,0.199,0.127,0.189592308,0.198313,0.1915494,0.177399,0.187639674,0.208889844,0.244338185,0.305541667,0.285553148,0
8,0.2067,0.127,0.19787151,0.2036014,0.1990605,0.179629,0.198130357,0.218296788,0.238994521,0.258886667,0.083467647,0
9,0.2259,0.224,0.214804558,0.2174329,0.2159033,0.197265,0.212843168,0.231481597,0.261446747,0.341583333,0.09059497,0
10,0.2481,0.224,0.232234046,0.2407679,0.2334442,0.207347,0.232534705,0.256259896,0.278318836,0.294636667,0.288341436,0
11,0.2983,0.224,0.285316239,0.3391819,0.2873131,0.256778,0.28048486,0.364422222,0.333702226,0.325995,0.146416557,0
12,0.3863,0.224,0.324974929,0.4543206,0.3322588,0.309285,0.355588975,0.442086806,0.490762671,0.599896667,0.197848723,0
13,0.4224,0.127,0.356949288,0.4889325,0.3575768,0.293416,0.368866382,0.461542708,0.616830479,0.638476667,0.165147652,0
14,0.3692,0.127,0.335306838,0.3818994,0.3372604,0.253684,0.321172671,0.397033073,0.551749829,0.575795,0.14399495,0
15,0.3744,0.127,0.352907835,0.3723849,0.3634265,0.251013,0.320628339,0.429289931,0.503133048,0.498,0.020887585,0
16,0.324,0.127,0.322626638,0.3172507,0.3219659,0.236769,0.274298447,0.36655191,0.435350685,0.475083333,0.099018143,0
17,0.2843,0.224,0.276219516,0.2741892,0.2776764,0.215409,0.240377717,0.313196354,0.36762363,0.363291667,0.06866816,0
18,0.2857,0.224,0.262302137,0.2841803,0.2756051,0.213238,0.254465373,0.303799045,0.364373801,0.374948333,0.167123123,0
19,0.3545,0.224,0.318573362,0.3569319,0.3274029,0.269838,0.311231832,0.406503385,0.415109075,0.412648333,0.211159801,0
20,0.4114,0.224,0.355105556,0.4006385,0.3656475,0.257,0.344324612,0.471883767,0.514844863,0.522205,0.13330106,0
21,0.2812,0.127,0.269592735,0.2947959,0.276178,0.172717,0.231957453,0.338227431,0.432164212,0.406523333,0.157402433,0
22,0.2919,0.127,0.274192023,0.2930675,0.2891186,0.18057,0.240796972,0.337515451,0.447004966,0.523015,0.161876599,0
23,0.2036,0.084,0.18670641,0.1991691,0.2013548,0.133513,0.178230901,0.226461545,0.287183219,0.294503333,0.180515096,0
24,0.1211,0.084,0.109490028,0.1217234,0.1220392,0.09545,0.123364053,0.123895486,0.164414726,0.157278333,0.263946033,0
25,0.1026,0.084,0.097437464,0.0998941,0.0992339,0.089525,0.099261025,0.109746962,0.134081678,0.147221667,0.280184853,0
26,0.0986,0.084,0.096995726,0.0984629,0.0981675,0.089439,0.097861491,0.106600087,0.127021918,0.148055,0.342187057,0
27,0.0978,0.084,0.097107835,0.0983765,0.098284,0.088991,0.097650233,0.106606944,0.128272603,0.145843333,0.3736176,0
28,0.0995,0.084,0.098543732,0.0998627,0.0991922,0.089492,0.097975776,0.108235851,0.130477055,0.145658333,0.208552648,0
29,0.1851,0.084,0.182824501,0.1848242,0.1838312,0.173271,0.182292469,0.193973611,0.220403082,0.245366667,0.351193087,0
30,0.1878,0.127,0.186494587,0.1870014,0.1873904,0.174081,0.184045264,0.197338368,0.222809075,0.247821667,0.357861964,0
31,0.2019,0.127,0.19963661,0.2031643,0.1998454,0.17981,0.196993478,0.212921094,0.231927911,0.26097,0.354181184,0
32,0.2058,0.224,0.208897151,0.2049166,0.2075318,0.191017,0.19814177,0.220716059,0.248859075,0.280298333,0.29091971,0
33,0.2239,0.224,0.21189188,0.2220243,0.2175978,0.191378,0.218651863,0.233683073,0.271057021,0.331405,0,0
34,0.2262,0.224,0.204350997,0.2197613,0.21742,0.188024,0.210767391,0.239222656,0.28547911,0.324356667,0.374957292,0
35,0.2308,0.224,0.198806695,0.2313851,0.2000039,0.181404,0.191381522,0.239177604,0.329573973,0.41768,0.327967974,0
36,0.3253,0.127,0.226049573,0.3701608,0.2440021,0.20427,0.247129425,0.346219531,0.516254452,0.540571667,0.303042019,0
37,0.3856,0.127,0.295875499,0.4223764,0.3155927,0.217044,0.314636335,0.441908767,0.601488185,0.80458,0.307894933,0
38,0.3972,0.127,0.354629915,0.3882114,0.3506624,0.253113,0.317389286,0.457149566,0.574589212,0.665441667,0.305315649,0
39,0.3935,0.127,0.359124644,0.359532,0.3583539,0.233777,0.318346196,0.433949826,0.532179452,0.646426667,0.273675944,0
40,0.4713,0.224,0.439404986,0.4363183,0.4501863,0.345882,0.414999224,0.501015972,0.575035788,0.59945,0.17303113,0
41,0.4091,0.224,0.397612251,0.3953073,0.4083515,0.32469,0.371263898,0.445575868,0.509713356,0.475631667,0.318544101,0
42,0.4065,0.224,0.392079487,0.4221567,0.3913681,0.33938,0.380447127,0.442623872,0.506308562,0.534498333,0.177122108,0
43,0.4684,0.224,0.428535897,0.5163693,0.4348645,0.353188,0.43941646,0.533496528,0.581716438,0.676885,0.231680755,0
44,0.4113,0.127,0.339165385,0.4653091,0.3423764,0.250504,0.34091646,0.482333507,0.602921747,0.746903333,0.171998948,0
45,0.2853,0.127,0.238359117,0.2821743,0.2519748,0.173418,0.216402873,0.329964323,0.42901387,0.560833333,0.151454422,0
46,0.2942,0.084,0.268333048,0.2819505,0.2815074,0.174707,0.23350528,0.339750434,0.443053767,0.525505,0.3492557,0
47,0.1985,0.084,0.190140741,0.2025464,0.2015442,0.127992,0.177482764,0.230576563,0.3116875,0.359145,0.337586226,0
48,0.1222,0.084,0.111959117,0.115368,0.1207335,0.092074,0.107102407,0.134865278,0.171480308,0.176135,0.515056119,0
49,0.1034,0.084,0.099454274,0.1057578,0.1042342,0.090533,0.098902252,0.11175434,0.149576884,0.144431667,0.512419805,0
50,0.0982,0.084,0.097306268,0.0984596,0.0985751,0.08915,0.09801778,0.106796788,0.126794521,0.14627,0.51600647,0
51,0.0978,0.084,0.096888034,0.0982601,0.0980541,0.089306,0.097539984,0.106557899,0.125328938,0.1436,0.456769931,0
52,0.1002,0.084,0.099146724,0.0996088,0.0998106,0.088988,0.098021972,0.109246962,0.1287125,0.14496,0.063760396,0
53,0.1851,0.127,0.18352037,0.1851533,0.1841391,0.173236,0.182521661,0.19369158,0.214819349,0.227966667,0.097369514,0
54,0.1921,0.127,0.186409259,0.1868039,0.1867772,0.179385,0.187556677,0.196120312,0.217187158,0.238068333,0.395275668,0
55,0.2007,0.224,0.190475926,0.1975591,0.1963522,0.181176,0.19329177,0.209765104,0.229085274,0.241433333,0.272706715,0
56,0.2046,0.224,0.200731339,0.202449,0.2070173,0.197418,0.203404814,0.209300434,0.228977911,0.237845,0.502730296,0
57,0.337,0.224,0.334991026,0.3354798,0.3464748,0.325547,0.337185714,0.351851997,0.368974658,0.369783333,0.575980521,0
58,0.3568,0.224,0.349181766,0.3534784,0.3539031,0.344225,0.345399379,0.374112413,0.385447432,0.395705,0.526789227,0
59,0.3226,0.127,0.298382764,0.3555429,0.3121017,0.265223,0.313300078,0.361010156,0.456962671,0.473376667,0.46921535,0
60,0.3533,0.127,0.291605413,0.4006319,0.2834234,0.224465,0.286701475,0.423005295,0.474691781,0.668255,0.434313345,0
61,0.3984,0.127,0.305777066,0.4258225,0.3307244,0.245268,0.333488665,0.434273785,0.660592637,0.846973333,0.396070409,0
62,0.3718,0.127,0.346155983,0.3957549,0.368681,0.242235,0.331988975,0.431387674,0.534116952,0.66076,0.353447076,0
63,0.4964,0.224,0.474998148,0.4896221,0.4846326,0.354051,0.437088199,0.553512587,0.645383904,0.717405,0.20334477,0
64,0.3284,0.224,0.319608262,0.3188234,0.325529,0.220227,0.283282609,0.375856771,0.442904281,0.519475,0.307524757,0
65,0.2914,0.224,0.275969801,0.2970425,0.279872,0.218168,0.255019565,0.32827283,0.375859589,0.475168333,0,0
66,0.2931,0.224,0.272235897,0.2889621,0.283773,0.212496,0.261641071,0.323668924,0.40438476,0.469836667,0.123812998,0
67,0.3681,0.127,0.30122906,0.3663349,0.3137303,0.230507,0.301534938,0.413376302,0.488954281,0.448518333,0.350805542,0
68,0.4189,0.127,0.383765954,0.449712,0.3959615,0.288802,0.35225955,0.512949132,0.655798116,0.716228333,0.22701025,0
69,0.2859,0.084,0.261765954,0.2831752,0.2660037,0.18461,0.233086413,0.328346788,0.436447774,0.567541667,0.484235383,0
70,0.3127,0.084,0.296714245,0.2765549,0.3001721,0.184213,0.242730901,0.354622222,0.458304623,0.636031667,0.457017578,0
71,0.2153,0.084,0.198739316,0.1821887,0.2079937,0.138593,0.173973758,0.236182465,0.315864555,0.463718333,0.370510183,0
72,0.1351,0.084,0.112603419,0.1105028,0.1306272,0.097506,0.113480512,0.142533247,0.189589212,0.256701667,0.620748966,0
73,0.1078,0.084,0.09860114,0.1028483,0.1001613,0.089831,0.099554348,0.117611024,0.149130993,0.291226667,0.59217077,0
74,0.1016,0.084,0.096712963,0.0985542,0.0981353,0.089048,0.097656599,0.106655642,0.138127226,0.20119,0.625678316,0
75,0.0981,0.084,0.096442308,0.0982345,0.0976686,0.089134,0.097253571,0.106623351,0.125361644,0.14567,0.688545532,0
76,0.0998,0.127,0.096554416,0.0992666,0.0979698,0.089068,0.097328727,0.109010503,0.126075514,0.144631667,0.541767189,0
77,0.1842,0.127,0.182471225,0.1843606,0.1832919,0.173313,0.181823758,0.193956771,0.211477055,0.230251667,0.579272832,0
78,0.1886,0.224,0.184261111,0.1881993,0.1861437,0.173907,0.184396118,0.199534201,0.219085274,0.234883333,0.301033146,0
79,0.1977,0.224,0.193365954,0.1969075,0.1946993,0.175563,0.193968866,0.207271007,0.233482705,0.268386667,0.286806296,0
80,0.325,0.224,0.320059117,0.3248534,0.3218003,0.309902,0.321068634,0.331953385,0.360607534,0.377976667,0.10026564,0
81,0.2509,0.224,0.242563533,0.2583268,0.2488991,0.231567,0.251052019,0.261272569,0.293713185,0.315125,0,0
82,0.1872,0.127,0.187326211,0.2031124,0.1982227,0.172868,0.194025621,0.200656858,0.230377397,0.233163333,0,0
83,0.2149,0.127,0.185131197,0.2477241,0.1944153,0.154149,0.191234084,0.240411285,0.330391096,0.32979,0.622854771,0
84,0.2864,0.127,0.245961396,0.3989504,0.2513756,0.245359,0.253714674,0.384453993,0.425268151,0.404445,0.592828474,0
85,0.3494,0.127,0.300967949,0.3764944,0.2972732,0.228161,0.298334239,0.415517622,0.64311387,1.147913333,0.537536952,0
86,0.3263,0.224,0.27343433,0.2781406,0.2733582,0.180756,0.252122904,0.348790625,0.434122945,0.640318333,0.480651702,0
87,0.3526,0.224,0.339043305,0.3159221,0.3329938,0.201254,0.293962112,0.384572049,0.436616781,0.56295,0.152542123,0
88,0.3304,0.224,0.297344729,0.2864696,0.3015818,0.198161,0.269671351,0.352084462,0.404414384,0.455066667,0.124955855,0
89,0.2967,0.224,0.260947151,0.2692815,0.2800823,0.203859,0.25177368,0.319236806,0.380773116,0.404478333,0,0
90,0.2978,0.127,0.254968661,0.2827639,0.2677322,0.216493,0.251911258,0.315909549,0.402439726,0.321003333,0.394914561,0
91,0.3678,0.127,0.287118946,0.3618359,0.2990233,0.232635,0.311696429,0.392122049,0.437929281,0.40773,0.465611467,0
92,0.4118,0.084,0.318447151,0.4139766,0.3373583,0.266038,0.334022283,0.439389063,0.561112329,0.50454,0.457599439,0
93,0.2801,0.084,0.242334758,0.2729483,0.2516143,0.164738,0.230941693,0.31218125,0.424596918,0.579325,0.615293852,0
94,0.2722,0.084,0.276702137,0.2782497,0.274483,0.164193,0.232426242,0.322497222,0.415395548,0.478368333,0.544640859,0
95,0.1952,0.084,0.190580199,0.1912786,0.192683,0.125644,0.167486258,0.229792622,0.274405993,0.34604,0.621027332,0
96,0.1211,0.084,0.111314672,0.1163131,0.1141316,0.092984,0.109264674,0.13511901,0.152284075,0.183585,0.646476704,0
97,0.1005,0.084,0.09802151,0.1031209,0.1016762,0.08995,0.098107997,0.111792274,0.1379125,0.143801667,0.711303092,0
98,0.0988,0.084,0.097431339,0.0984292,0.0988421,0.089794,0.097730124,0.107176736,0.126853425,0.144608333,0.713468757,0
99,0.0976,0.127,0.096832194,0.0982102,0.0980527,0.08929,0.097502407,0.106348611,0.127625342,0.150831667,0.305484267,0
100,0.0998,0.127,0.099318946,0.1001127,0.1001369,0.088993,0.098020575,0.110133681,0.129593322,0.151533333,0.74425251,0
101,0.1011,0.224,0.103746439,0.1019309,0.102939,0.08915,0.09839441,0.113442188,0.135697603,0.162871667,0,0
102,0.1039,0.224,0.103893162,0.1070202,0.1036064,0.089795,0.100199457,0.115911979,0.141735616,0.15909,0.293129098,0
103,0.1168,0.224,0.110302991,0.1175279,0.1130055,0.093401,0.111293866,0.127488889,0.154038527,0.15925,0.275639926,0
104,0.1159,0.224,0.116549003,0.1231124,0.1238456,0.102117,0.113882065,0.13518724,0.164907021,0.183493333,0,0
105,0.1364,0.127,0.12607735,0.1398925,0.1403316,0.116901,0.127680202,0.154223264,0.190711473,0.236618333,0,0
106,0.15,0.127,0.152878348,0.1597979,0.1566458,0.127732,0.14711545,0.169943403,0.198016781,0.19091,0,0
107,0.1992,0.127,0.173912251,0.2255414,0.1832682,0.162204,0.185930978,0.233284896,0.261993664,0.357375,0.892093193,0
108,0.2866,0.127,0.22486453,0.3402138,0.2293946,0.17452,0.249415994,0.298621094,0.469581336,0.445026667,0.828876574,0
109,0.3563,0.224,0.257240883,0.3822964,0.2889869,0.185312,0.289266071,0.415497222,0.591908562,1.030311667,0.748426256,0
110,0.2958,0.224,0.264316097,0.3171522,0.2898222,0.17074,0.240842081,0.36361224,0.427435445,0.421211667,0.695086237,0
111,0.3422,0.224,0.301737037,0.3022928,0.3180163,0.17728,0.255456211,0.38067474,0.480464726,0.479978333,0.459726512,0
112,0.3446,0.224,0.322503561,0.3271288,0.3345405,0.220779,0.28186778,0.398821788,0.461113527,0.513401667,0,0
113,0.4188,0.127,0.386131197,0.4066042,0.4108786,0.338518,0.372862966,0.450162413,0.532129452,0.629263333,0,0
114,0.2846,0.127,0.261783761,0.2946251,0.2745198,0.229432,0.25159014,0.324044878,0.419500171,0.472941667,0.186233574,0
115,0.3342,0.084,0.302034473,0.3684964,0.3064877,0.26197,0.286457298,0.418441927,0.496517808,0.464526667,0.188770092,0
116,0.3568,0.084,0.330217094,0.4402589,0.3280174,0.254107,0.336324457,0.434062153,0.531131849,0.641465,0.553363522,0
117,0.2664,0.084,0.258384615,0.2731003,0.2572981,0.179125,0.231445342,0.293027344,0.3544625,0.360476667,0.463311006,0
118,0.298,0.084,0.27622151,0.2692466,0.2803642,0.178676,0.234553804,0.32536467,0.392386473,0.409498333,0.639830774,0
119,0.21,0.084,0.187742308,0.1914349,0.1962164,0.127029,0.16701646,0.22604158,0.296466438,0.315353333,0.858630355,0
120,0.1216,0.084,0.11315698,0.1199649,0.1190799,0.095586,0.108724068,0.133031684,0.16790137,0.202295,0.945362854,0
121,0.1016,0.084,0.098074074,0.1002249,0.1023876,0.089257,0.098336335,0.111742274,0.132962329,0.162408333,0.990319228,0
122,0.1022,0.084,0.096754416,0.0987531,0.0978998,0.089316,0.097859161,0.10928967,0.12711387,0.144003333,0.981857646,0
123,0.0981,0.084,0.096787464,0.0981377,0.0980484,0.089062,0.097500233,0.106688889,0.125985959,0.1436,0.90951387,0
124,0.0981,0.084,0.097767236,0.09858,0.0990266,0.089283,0.097736335,0.107297569,0.126027397,0.143826667,0.574069278,0
125,0.1825,0.084,0.183001567,0.1849149,0.1838845,0.174559,0.181781444,0.191860937,0.214066438,0.22837,0.53606268,0
126,0.1087,0.084,0.100974786,0.106052,0.1021177,0.090249,0.101683773,0.115659983,0.138585103,0.153726667,0.98428913,0
127,0.1328,0.084,0.110502707,0.1204849,0.1125784,0.092211,0.109614519,0.137233767,0.175422774,0.182205,0.843079454,0
128,0.2219,0.084,0.208361538,0.2206894,0.2086026,0.187176,0.204774068,0.232932292,0.251789555,0.236631667,0.758522348,0
129,0.1797,0.084,0.171627066,0.1802887,0.176436,0.146016,0.170546118,0.193097917,0.221654623,0.19387,0,0
130,0.1488,0.084,0.138707977,0.1466993,0.1482832,0.109135,0.139906755,0.163248785,0.196958904,0.169025,0.581572735,0
131,0.2005,0.084,0.170104843,0.1812967,0.1797504,0.126859,0.176651941,0.222568924,0.245655822,0.297971667,0.811517645,0
132,0.2941,0.084,0.239346296,0.2578237,0.2437401,0.158774,0.237395963,0.318597222,0.355151712,0.54106,0.805455758,0
133,0.3615,0.084,0.255287892,0.4321422,0.2718564,0.153468,0.325594798,0.408197222,0.56781113,0.598486667,0.791261359,0
134,0.3377,0.084,0.301286325,0.3379984,0.3149223,0.215355,0.289337655,0.388549392,0.454423801,0.470458333,0.773138566,0
135,0.4327,0.084,0.378208262,0.4078462,0.3939997,0.287618,0.358413665,0.46888316,0.552274829,0.606218333,0.742016869,0
136,0.2919,0.084,0.260414672,0.2711792,0.2777701,0.178794,0.245688665,0.317238976,0.390266781,0.455135,0.641623598,0
137,0.2813,0.084,0.252575071,0.2638649,0.2714874,0.210072,0.248435714,0.296620399,0.356837158,0.445621667,0.1399367,0
138,0.2655,0.084,0.259311396,0.269351,0.2683867,0.214211,0.238936646,0.300026736,0.341985103,0.35309,0.476817568,0
139,0.3092,0.084,0.268966239,0.277697,0.2816293,0.248364,0.266092935,0.315321007,0.35537774,0.408051667,0.160169693,0
140,0.3396,0.084,0.306358262,0.3698874,0.320015,0.241731,0.303766149,0.383969618,0.483495719,0.553726667,0.086166055,0
141,0.2561,0.084,0.235946866,0.2677052,0.2542041,0.172522,0.227614519,0.286524219,0.396965068,0.49781,0.542470332,0
142,0.2958,0.084,0.265295299,0.2637709,0.2833161,0.172164,0.228987034,0.333394271,0.421310103,0.451496667,0.659746008,0
143,0.2043,0.084,0.183943305,0.1842702,0.197831,0.128925,0.159136413,0.231740625,0.30459726,0.338431667,0.734999619,0
144,0.1218,0.084,0.111573504,0.1213683,0.1216629,0.09479,0.104332764,0.134728646,0.200390753,0.232931667,0.772278358,0
145,0.1028,0.084,0.099988462,0.1045649,0.1090802,0.090394,0.101744953,0.114013889,0.150953082,0.149263333,0.763305886,0
146,0.0979,0.084,0.097125071,0.0981883,0.0989598,0.08915,0.09757632,0.106704514,0.128851884,0.143801667,0.760375348,0
147,0.098,0.084,0.09672151,0.0984175,0.0985117,0.088945,0.097517391,0.107171181,0.126126712,0.145136667,0.759389888,0
148,0.0986,0.084,0.097533333,0.0994188,0.1000192,0.089765,0.097640683,0.107996181,0.129272603,0.143993333,0.450772465,0
149,0.1839,0.084,0.182304131,0.1852356,0.1838776,0.173353,0.18180955,0.192278906,0.217489555,0.231733333,0.547481118,0
150,0.1872,0.084,0.184423932,0.1917013,0.187651,0.174459,0.185508696,0.200999566,0.225089212,0.250493333,0.17914355,0
151,0.2089,0.084,0.200249573,0.2015632,0.2029486,0.179608,0.194754348,0.21989349,0.254732705,0.256941667,0.845691066,0
152,0.2213,0.084,0.212801282,0.2149369,0.2167655,0.186595,0.209594332,0.239748785,0.261106849,0.235913333,0.80788524,0
153,0.1791,0.084,0.165799573,0.1801062,0.1702375,0.153721,0.171249689,0.189175,0.215117466,0.23074,0.613217017,0
154,0.1687,0.084,0.155372222,0.1633975,0.1544262,0.137066,0.155860326,0.17615026,0.197248973,0.214063333,0.684906924,0
155,0.164,0.084,0.149648291,0.1747198,0.154068,0.13214,0.142768789,0.180557986,0.241912671,0.251233333,0.135060142,0
156,0.2668,0.084,0.242804416,0.2866576,0.233797,0.177394,0.253014829,0.304163108,0.352588699,0.49685,0.649556879,0
157,0.3538,0.084,0.269054986,0.4264438,0.2718815,0.189054,0.309529814,0.41946467,0.564180822,0.57785,0.622051199,0
158,0.3219,0.084,0.257108832,0.2898162,0.2724146,0.181453,0.260311413,0.344688542,0.474915582,0.570966667,0.576952538,0
159,0.3658,0.084,0.32046453,0.3287621,0.3313168,0.210253,0.283994488,0.399927865,0.535525856,0.67402,0.565863141,0
160,0.3038,0.084,0.268828917,0.2754685,0.278823,0.189755,0.243289829,0.322893663,0.458179966,0.520445,0.100348136,0
161,0.2831,0.084,0.260619943,0.2726813,0.2702644,0.206367,0.250790373,0.300141493,0.384197774,0.537521667,0.192888267,0
162,0.2589,0.084,0.234474074,0.283706,0.2543022,0.200709,0.24336118,0.30012474,0.342898116,0.419193333,0.617028921,0
