,ConBase,ConStove,ConOven,ConDHW,Qheat,Qcool
0,0.142271667,0,0,0,0,0
1,0.144766667,0,0,0,0.013150695,0
2,0.141666667,0,0,0,0.012052144,0
3,0.141666667,0,0,0,0.010667897,0
4,0.143481667,0,0,0.001672,0.001046454,0
5,0.141666667,0,0,0.065068667,0,0
6,0.141666667,0,0,0.076772667,0.007112797,0
7,0.207711667,0,0,0.261946667,0.011151602,0
8,0.207923333,0,0,0.126793333,0.003259631,0
9,0.182303333,0,0,0.001672,0.003537972,0
10,0.216366667,0,0,0.010032,0.011260492,0
11,0.222661667,0.108,0,0.006688,0.005717952,0
12,0.226146667,0.012,0.025,0.156889333,0.007726513,0
13,0.265015,0,0,0.153406,0.00644945,0
14,0.246651667,0,0,0.034067,0.005623382,0
15,0.27324,0,0,0.020830333,0.000815715,0
16,0.172606667,0,0,0,0.003866919,0
17,0.148471667,0,0,0,0.002681672,0
18,0.16727,0.024,0,0.146857333,0.006526598,0
19,0.179881667,0.06,0,0.011704,0.008246346,0
20,0.202376667,0,0,0.019158333,0.005205757,0
21,0.197161667,0,0,0.027518333,0.006146979,0
22,0.170626667,0,0,0.010032,0.006321707,0
23,0.154371667,0,0,0,0.00704959,0
24,0.141666667,0,0,0,0.010307787,0
25,0.142271667,0,0,0,0.010941956,0
26,0.141666667,0,0,0,0.013363305,0
27,0.141666667,0,0,0,0.01459075,0
28,0.141666667,0,0,0.005016,0.00814453,0
29,0.142271667,0,0,0.065068667,0.013715014,0
30,0.141666667,0,0,0.133481333,0.013975451,0
31,0.147581667,0,0,0.752330333,0.013831707,0
32,0.156815,0,0,0.110979,0.01136118,0
33,0.165736667,0,0,0.130137333,0,0
34,0.162526667,0,0,0.010032,0.014643069,0
35,0.199111667,0.012,0,0.040128,0.012808012,0
36,0.318903333,0.144,0,0.128465333,0.011834588,0
37,0.268131667,0,0,0.316983333,0.012024107,0
38,0.171721667,0,0,0.005016,0.01192338,0
39,0.156186667,0,0,0,0.010687766,0
40,0.171261667,0,0,0,0.006757321,0
41,0.224921667,0,0,0.006688,0.012439985,0
42,0.239906667,0.084,0,0.011704,0.006917084,0
43,0.208698333,0.06,0,0.141841333,0.009047743,0
44,0.201171667,0,0,0.396194333,0.006717012,0
45,0.207061667,0,0,0.023268667,0.005914694,0
46,0.182961667,0,0,0,0.013639354,0
47,0.143376667,0,0,0,0.013183631,0
48,0.141666667,0,0,0,0.020114297,0
49,0.142876667,0,0,0,0.020011342,0
50,0.143481667,0,0,0,0.020151411,0
51,0.141666667,0,0,0,0.017838068,0
52,0.141666667,0,0,0,0.002490011,0
53,0.141666667,0,0,0.006688,0.003802536,0
54,0.141666667,0,0,0.477913333,0.015436555,0
55,0.141666667,0,0,0.013376,0.010649915,0
56,0.152951667,0,0,0.255258667,0.019632941,0
57,0.210101667,0,0,0.005016,0.022493555,0
58,0.190463333,0.036,0,0.020064,0.020572506,0
59,0.265725,0,0,0.005016,0.018324094,0
60,0.201528333,0,0,0.017486333,0.016961079,0
61,0.178825,0.012,0,0.503620333,0.015467592,0
62,0.207621667,0.012,0,0.023268667,0.013803038,0
63,0.200823333,0,0,0.00836,0.007941148,0
64,0.209671667,0,0,0,0.012009651,0
65,0.202051667,0,0,0.010032,0,0
66,0.179186667,0,0,0.02508,0.004835223,0
67,0.186601667,0,0,0.193534,0.01369988,0
68,0.18453,0,0,0.156889333,0.008865348,0
69,0.183061667,0,0,0.323671333,0.018910666,0
70,0.179096667,0,0,0.19019,0.017847739,0
71,0.144086667,0,0,0,0.014469398,0
72,0.144086667,0,0,0,0.024241881,0
73,0.142271667,0,0,0,0.023125827,0
74,0.141666667,0,0,0,0.024434385,0
75,0.141666667,0,0,0.063396667,0.026889515,0
76,0.141666667,0,0,0,0.021157434,0
77,0.141806667,0,0,0.006688,0.022622128,0
78,0.144086667,0,0,0.266962667,0.011756137,0
79,0.142876667,0,0,0.011704,0.011200541,0
80,0.143725,0,0,0.166782,0.003915637,0
81,0.165503333,0,0,0.013376,0,0
82,0.158366667,0.012,0,0.003344,0,0
83,0.219576667,0.108,0,0.005016,0.024324118,0
84,0.283355,0.048,0.3,0.261946667,0.023151512,0
85,0.242936667,0.084,0.0625,0.031628667,0.020992233,0
86,0.231448333,0,0,0.021596667,0.018770714,0
87,0.196726667,0,0,0.126793333,0.005957171,0
88,0.15808,0,0,0,0.004879855,0
89,0.176261667,0,0,0,0,0
90,0.182195,0,0,0,0.015422453,0
91,0.187485,0.024,0,0.130137333,0.018183353,0
92,0.217098333,0,0,0.015814333,0.017870462,0
93,0.273906667,0,0,0.017486333,0.024028844,0
94,0.203996667,0,0,0.006688,0.021269659,0
95,0.151421667,0,0,0,0.024252752,0
96,0.141666667,0,0,0,0.025246617,0
97,0.141666667,0,0,0,0.027778258,0
98,0.141666667,0,0,0,0.027862833,0
99,0.141666667,0,0,0,0.011929965,0
100,0.141666667,0,0,0,0.029065019,0
101,0.144586667,0,0,0.065068667,0,0
102,0.141666667,0,0,0.261946667,0.011447463,0
103,0.150103333,0,0,0.275183333,0.010764464,0
104,0.148708333,0,0,0.006688,0,0
105,0.144706667,0,0,0.128465333,0,0
106,0.161351667,0.012,0,0.130137333,0,0
107,0.174121667,0.036,0,0.018392,0.034838587,0
108,0.211591667,0,0,0.003344,0.032369811,0
109,0.183551667,0,0,0.137591667,0.029228015,0
110,0.238486667,0,0,0.050020667,0.027144947,0
111,0.220206667,0,0,0.130137333,0.01795353,0
112,0.162236667,0,0,0.010798333,0,0
113,0.173276667,0,0,0.001672,0,0
114,0.171115,0,0,0.135153333,0.007272911,0
115,0.186121667,0,0,0.013376,0.007371969,0
116,0.179691667,0,0,0.166782,0.021610302,0
117,0.18542,0,0,0.00836,0.018093514,0
118,0.157921667,0,0,0.19019,0.024987075,0
119,0.143631667,0,0,0,0.033531775,0
