Time(hour),E_Garage,E_ComAreas,E_HHs,CAP_kW,DateTime
0,0.0,11.689325175,6.9872061400000005,12,2018-01-01 00:00:00
1,0.0,6.192430065,5.627701480000001,12,2018-01-01 01:00:00
2,0.0,16.522503495000002,6.787082289999999,12,2018-01-01 02:00:00
3,0.0,0.3504725,5.335,12,2018-01-01 03:00:00
4,0.0,5.952518165,7.0982872,13,2018-01-01 04:00:00
5,0.0,2.214218545,7.602593615000001,11,2018-01-01 05:00:00
6,0.0,13.15898176,6.98148272,16,2018-01-01 06:00:00
7,4.189500000000001,37.25994068,12.339560815,15,2018-01-01 07:00:00
8,4.3141875,32.93669058,11.96838485,15,2018-01-01 08:00:00
9,0.8927625000000001,17.51300146,7.06285026,15,2018-01-01 09:00:00
10,0.588525,8.466607175,6.18721252,15,2018-01-01 10:00:00
11,0.399,9.235325665,5.5638763650000005,14,2018-01-01 11:00:00
12,0.399,8.56818118,12.37162865,14,2018-01-01 12:00:00
13,0.399,11.836983215,12.43327865,12,2018-01-01 13:00:00
14,0.608475,21.644488785,11.839066845,12,2018-01-01 14:00:00
15,0.798,9.555666644999999,21.142284465,14,2018-01-01 15:00:00
16,1.426425,8.99083602,17.85833189,14,2018-01-01 16:00:00
17,3.0423750000000003,6.75120057,10.853404055,15,2018-01-01 17:00:00
18,1.89525,10.854243485000001,12.750577835,14,2018-01-01 18:00:00
19,0.0,20.001152505,15.47847595,12,2018-01-01 19:00:00
20,0.0,15.959331305000001,17.56935192,12,2018-01-01 20:00:00
21,0.0,16.851989535,21.446464385000002,11,2018-01-01 21:00:00
22,0.0,16.828829300000002,18.508587355,12,2018-01-01 22:00:00
23,0.0,15.359736475,14.990507590000002,12,2018-01-01 23:00:00
24,0.0,1.2535375,5.5578634000000005,12,2018-01-02 00:00:00
25,0.0,1.1424075,5.335,11,2018-01-02 01:00:00
26,0.0,7.781620225,5.64031744,11,2018-01-02 02:00:00
27,0.0,1.0754725,5.335,12,2018-01-02 03:00:00
28,0.0,1.48588758,5.81218557,12,2018-01-02 04:00:00
29,0.0,6.69441281,6.240537789999999,15,2018-01-02 05:00:00
30,0.0,1.365205,5.899007075,22,2018-01-02 06:00:00
31,4.189500000000001,32.820587565,10.601589274999998,28,2018-01-02 07:00:00
32,4.3141875,31.404405795000002,9.757457425,42,2018-01-02 08:00:00
33,0.8927625000000001,14.38254775,7.6347494650000005,48,2018-01-02 09:00:00
34,0.588525,8.051100745,6.972974665,50,2018-01-02 10:00:00
35,0.399,17.04426639,6.946998625000001,46,2018-01-02 11:00:00
36,0.399,22.310047954999998,18.793828655,44,2018-01-02 12:00:00
