Time(hour),Pel_PV,PV_CAP_kW_1h,DateTime
0,0.0,0.0,2018-01-01 00:00:00
1,0.0,0.0,2018-01-01 01:00:00
2,0.0,0.0,2018-01-01 02:00:00
3,0.0,0.0,2018-01-01 03:00:00
4,0.0,0.0,2018-01-01 04:00:00
5,0.0,0.0,2018-01-01 05:00:00
6,0.0,0.0,2018-01-01 06:00:00
7,0.0,0.0,2018-01-01 07:00:00
8,0.154357965,0.07,2018-01-01 08:00:00
9,9.77355453,2.23,2018-01-01 09:00:00
10,18.84173602,12.27,2018-01-01 10:00:00
11,24.467052000000002,16.76,2018-01-01 11:00:00
12,24.04471174,17.5,2018-01-01 12:00:00
13,20.98172247,16.35,2018-01-01 13:00:00
14,14.012389575,11.68,2018-01-01 14:00:00
15,9.14715061,8.9,2018-01-01 15:00:00
16,3.635358915,1.31,2018-01-01 16:00:00
17,0.0155419,0.01,2018-01-01 17:00:00
18,0.0,0.0,2018-01-01 18:00:00
19,0.0,0.0,2018-01-01 19:00:00
20,0.0,0.0,2018-01-01 20:00:00
21,0.0,0.0,2018-01-01 21:00:00
22,0.0,0.0,2018-01-01 22:00:00
23,0.0,0.0,2018-01-01 23:00:00
24,0.0,0.0,2018-01-02 00:00:00
25,0.0,0.0,2018-01-02 01:00:00
26,0.0,0.0,2018-01-02 02:00:00
27,0.0,0.0,2018-01-02 03:00:00
28,0.0,0.0,2018-01-02 04:00:00
29,0.0,0.0,2018-01-02 05:00:00
30,0.0,0.0,2018-01-02 06:00:00
31,0.0,0.0,2018-01-02 07:00:00
32,0.085967865,0.04,2018-01-02 08:00:00
33,2.019675225,1.13,2018-01-02 09:00:00
34,4.226824455,2.5,2018-01-02 10:00:00
35,6.192621245,3.72,2018-01-02 11:00:00
36,7.523693075,4.63,2018-01-02 12:00:00
37,6.972443725,4.26,2018-01-02 13:00:00
38,5.222859215,3.15,2018-01-02 14:00:00
39,3.435687585,2.03,2018-01-02 15:00:00
40,1.4204931,0.82,2018-01-02 16:00:00
41,0.015843484999999997,0.01,2018-01-02 17:00:00
42,0.0,0.0,2018-01-02 18:00:00
43,0.0,0.0,2018-01-02 19:00:00
44,0.0,0.0,2018-01-02 20:00:00
45,0.0,0.0,2018-01-02 21:00:00
46,0.0,0.0,2018-01-02 22:00:00
47,0.0,0.0,2018-01-02 23:00:00
48,0.0,0.0,2018-01-03 00:00:00
49,0.0,0.0,2018-01-03 01:00:00
50,0.0,0.0,2018-01-03 02:00:00
51,0.0,0.0,2018-01-03 03:00:00
52,0.0,0.0,2018-01-03 04:00:00
53,0.0,0.0,2018-01-03 05:00:00
54,0.0,0.0,2018-01-03 06:00:00
55,0.0,0.0,2018-01-03 07:00:00
56,0.06403172,0.03,2018-01-03 08:00:00
57,2.73587986,1.23,2018-01-03 09:00:00
58,12.52648292,8.18,2018-01-03 10:00:00
59,15.389777115000001,10.64,2018-01-03 11:00:00
