datetime,value
2023-01-01T00:00:00,41.45
2023-01-01T01:00:00,43.01
2023-01-01T02:00:00,58.07
2023-01-01T03:00:00,60.69
2023-01-01T04:00:00,62.91
2023-01-01T05:00:00,61.48
2023-01-01T06:00:00,63.01
2023-01-01T07:00:00,60.32
2023-01-01T08:00:00,67.93
2023-01-01T09:00:00,64.65
2023-01-01T10:00:00,59.84
2023-01-01T11:00:00,56.38
2023-01-01T12:00:00,54.25
2023-01-01T13:00:00,55.41
2023-01-01T14:00:00,55.67
2023-01-01T15:00:00,56.45
2023-01-01T16:00:00,60.46
2023-01-01T17:00:00,61.32
2023-01-01T18:00:00,61.48
2023-01-01T19:00:00,63.15
2023-01-01T20:00:00,68.4
2023-01-01T21:00:00,85.45
2023-01-01T22:00:00,86.19
2023-01-01T23:00:00,63.54
2023-01-02T00:00:00,123.5
2023-01-02T01:00:00,104.45
2023-01-02T02:00:00,107.63
2023-01-02T03:00:00,112.15
2023-01-02T04:00:00,112.29
2023-01-02T05:00:00,135
2023-01-02T06:00:00,157.13
2023-01-02T07:00:00,161.61
2023-01-02T08:00:00,205.91
2023-01-02T09:00:00,205.16
2023-01-02T10:00:00,244.11
2023-01-02T11:00:00,242.74
2023-01-02T12:00:00,244.22
2023-01-02T13:00:00,246.38
2023-01-02T14:00:00,201.9
2023-01-02T15:00:00,198.37
2023-01-02T16:00:00,207.34
2023-01-02T17:00:00,238.03
2023-01-02T18:00:00,302.19
2023-01-02T19:00:00,289.55
2023-01-02T20:00:00,274.1
2023-01-02T21:00:00,261.42
2023-01-02T22:00:00,208.24
2023-01-02T23:00:00,196.32
2023-01-03T00:00:00,187.3
2023-01-03T01:00:00,178.79
2023-01-03T02:00:00,179.6
2023-01-03T03:00:00,177.63
2023-01-03T04:00:00,175.74
2023-01-03T05:00:00,177.2
2023-01-03T06:00:00,198.9
2023-01-03T07:00:00,213.77
2023-01-03T08:00:00,252.17
2023-01-03T09:00:00,253.32
2023-01-03T10:00:00,278.03
2023-01-03T11:00:00,266.95
2023-01-03T12:00:00,251.14
2023-01-03T13:00:00,246.7
2023-01-03T14:00:00,196.27
2023-01-03T15:00:00,190.7
2023-01-03T16:00:00,210.11
2023-01-03T17:00:00,237.68
2023-01-03T18:00:00,298.14
2023-01-03T19:00:00,287.77
2023-01-03T20:00:00,276.71
2023-01-03T21:00:00,274.49
2023-01-03T22:00:00,209
2023-01-03T23:00:00,191.7
2023-01-04T00:00:00,182.6
2023-01-04T01:00:00,161.81
2023-01-04T02:00:00,154.17
2023-01-04T03:00:00,147.81
2023-01-04T04:00:00,142.74
2023-01-04T05:00:00,149.93
2023-01-04T06:00:00,168.09
2023-01-04T07:00:00,157.93
2023-01-04T08:00:00,213.25
2023-01-04T09:00:00,205.25
2023-01-04T10:00:00,239.74
2023-01-04T11:00:00,211.22
2023-01-04T12:00:00,221.63
2023-01-04T13:00:00,222.67
2023-01-04T14:00:00,176.59
2023-01-04T15:00:00,175.72
2023-01-04T16:00:00,182.43
2023-01-04T17:00:00,207.48
2023-01-04T18:00:00,300.19
2023-01-04T19:00:00,290.87
2023-01-04T20:00:00,278.02
2023-01-04T21:00:00,264.62
2023-01-04T22:00:00,203.72
2023-01-04T23:00:00,181.23
2023-01-05T00:00:00,147.83
2023-01-05T01:00:00,134.53
2023-01-05T02:00:00,125.31
